PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años de edad);12453123;3;6; 7.792,76 ; 1.298,79 ; 9.429,24 ; 1.571,54 ; 2.043,00 
PRO PLAN ACTIVE MIND RAZAS PEQUEÑAS(+ de 7 años de edad);12453305;7,5;1; 2.771,04 ; 2.771,04 ; 3.352,95 ; 3.352,95 ; 4.358,84 
PRO PLAN ACTIVE MIND RAZAS MEDIANAS & GRANDES (+ de 7 años de edad);12453104;3;6; 7.862,98 ; 1.310,50 ; 9.514,21 ; 1.585,70 ; 2.061,41 
PRO PLAN ACTIVE MIND RAZAS MEDIANAS & GRANDES (+ de 7 años de edad);12453293;15;1; 4.587,34 ; 4.587,34 ; 5.550,68 ; 5.550,68 ; 7.104,87 
PRO PLAN REDUCE CALORIE RAZA PEQUEÑA;12453112;1;6; 2.918,50 ; 486,42 ; 3.531,38 ; 588,56 ; 765,13 
PRO PLAN REDUCE CALORIE RAZA PEQUEÑA;12453103;3;6; 7.864,99 ; 1.310,83 ; 9.516,64 ; 1.586,11 ; 2.061,94 
PRO PLAN REDUCE CALORIE RAZA PEQUEÑA;12453310;7,5;1; 2.789,11 ; 2.789,11 ; 3.374,83 ; 3.374,83 ; 4.387,27 
PRO PLAN REDUCE CALORIE RAZA MEDIANA & GRANDE;12453306;3;6; 7.935,86 ; 1.322,64 ; 9.602,38 ; 1.600,40 ; 2.080,52 
PRO PLAN REDUCE CALORIE RAZA MEDIANA & GRANDE;12453312;15;1; 4.775,72 ; 4.775,72 ; 5.778,62 ; 5.778,62 ; 7.396,63 
PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453298;1;6; 2.997,89 ; 499,65 ; 3.627,45 ; 604,57 ; 785,95 
PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453313;3;6; 8.153,12 ; 1.358,85 ; 9.865,27 ; 1.644,21 ; 2.137,48 
PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453320;7,5;1; 2.897,42 ; 2.897,42 ; 3.505,88 ; 3.505,88 ; 4.557,65 
