Fabricante;Marca;Rubro;Linea;Especie;Edad;Raza;PRODUCTO;CODIGO;PESO UNITARIO (KGS);UNIDADES POR BULTO;PRECIO LISTA (POR BULTO SIN IVA);PRECIO LISTA (POR UNIDAD SIN IVA);PRECIO LISTA (POR BULTO CON IVA);PRECIO LISTA (POR UNIDAD CON IVA);PRECIO SUGERIDO A PUBLICO POR UNIDAD
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN REDUCE CALORIE RAZA MEDIANA & GRANDE;12453312;15;1; 4.775,72 ; 4.775,72 ; 5.778,62 ; 5.778,62 ; 7.396,63 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453298;1;6; 2.997,89 ; 499,65 ; 3.627,45 ; 604,57 ; 785,95 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453313;3;6; 8.153,12 ; 1.358,85 ; 9.865,27 ; 1.644,21 ; 2.137,48 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN SENSITIVE SKIN RAZA PEQUEÑA;12453320;7,5;1; 2.897,42 ; 2.897,42 ; 3.505,88 ; 3.505,88 ; 4.557,65 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN SENSITIVE SKIN RAZA MEDIANA & GRANDE;12453289;3;6; 8.153,12 ; 1.358,85 ; 9.865,27 ; 1.644,21 ; 2.137,48 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN SENSITIVE SKIN RAZA MEDIANA & GRANDE;12453316;15;1; 4.814,48 ; 4.814,48 ; 5.825,52 ; 5.825,52 ; 7.456,66 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453344;1;6; 3.018,22 ; 503,04 ; 3.652,05 ; 608,68 ; 791,28 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453345;3;6; 8.168,67 ; 1.361,44 ; 9.884,09 ; 1.647,35 ; 2.141,55 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN DELICATE STRUCTURE DOG  (RAZAS MINI-PEQUEÑAS);12453317;7,5;1; 2.909,76 ; 2.909,76 ; 3.520,82 ; 3.520,82 ; 4.577,06 
Nestle Purina;Pro Plan;Alimento Seco;;Perro;Adulto;;PRO PLAN EXIGENT DOG (SMALL BREED);12453346;1;6; 3.018,22 ; 503,04 ; 3.652,05 ; 608,68 ; 791,28 
