cod	ean	Descripcion			Blt			 Descuento 	Precio-Des+Renta					
6966	7791416065693	ALIMENTO RAZA PERROS POLLO CARNE CEREALES ARROZ	x21kg	21	1	1.509,19	1.826,12	 0,940 	 1.776,632 			 84,602 		 -    
6967	7791416090008	ALIMENTO RAZA BARRITA Carne	20x30gs	1	12	749,34	906,7	 1,000 	 938,435 			 938,435 		 -    
8168	7791416078082	PALITOS RAZA BLANDOS PERROS sabor JAMON	x500gs	0,5	10	286,36	346,5	 1,000 	 358,628 			 717,255 		 -    
8169	7791416078051	BOCADITOS RAZA BLANDOS PERROS sabor CARNE	x500gs	0,5	10	286,36	346,5	 1,000 	 358,628 			 717,255 		 -    
8170	7791416078075	PALITOS RAZA BLANDOS PERROS sabor JAMON	12u x65gs	1	12	522,93	632,75	 1,000 	 654,896 			 654,896 		 -    
8171	7791416078099	PALITOS RAZA BLANDOS PERROS sabor CARNE y LECHE	12u x65gs	1	1	522,93	632,75	 1,000 	 654,896 			 654,896 		 -    
8172	7791416078044	BOCADITOS RAZA BLANDOS PERROS sabor CARNE	12u x65gs	1	1	522,93	632,75	 1,000 	 654,896 			 654,896 		 -    
8173	7791416078068	BOCADITOS RAZA BLANDOS PERROS sabor POLLO	12u x65gs	1	1	522,93	632,75	 1,000 	 654,896 			 654,896 		 -    
8174	7791416078105	TIRITAS BLANDAS RAZA GATOS sabor CARNE	12u x50gs	1	1	522,93	632,75	 1,000 	 654,896 			 654,896 		 -    
8175	7791416078501	GUISADO de CARNE RAZA para PERROS ADULTOS	x340gs	1	12	100,58	121,7	 1,000 	 125,960 			 125,960 		 -    
8176	7791416078518	GUISADO de CARNE RAZA para GATOS ADULTOS	x340gs	1	12	100,58	121,7	 1,000 	 125,960 			 125,960 		 -    
6970	7791416001974	ALIMENTO GAUCHO GATOS ADULTOS PESCADO	x10kg	10	1	855,26	1.034,87	 0,940 	 1.006,825 			 100,683 		 -    
6971	7791416069752	ALIMENTO GAUCHO GATOS ADULTO PESCADO	x15kg	15	1	1.218,73	1.474,67	 0,940 	 1.434,706 			 95,647 		 -    
6972	7791416069257	ALIMENTO GAUCHO GATO ADULTO PESCADO	x500gs	0,5	18	49,99	60,49	 1,000 	 62,607 			 125,214 		 -    
6979	7791416072516	ALIMENTO GAUCHO PERROS CACHORROS	x25kg	25	1	1.546,20	1.870,91	 0,940 	 1.820,208 			 72,808 		 -    
6973	7791416069561	ALIMENTO GAUCHO PERROS CACHORROS	x15kg	15	1	957,03	1.158,01	 0,940 	 1.126,628 			 75,109 		 -    
6974	7791416069202	ALIMENTO GAUCHO PERROS ADULTOS CARNE	x1,5kg	1,5	12	108,45	131,22	 1,000 	 135,813 			 90,542 		 -    
6950	7791416001677	ALIMENTO GAUCHO PERROS ADULTOS	x15kg	15	1	810,37	980,54	 0,940 	 953,967 			 63,598 		 -    
6978	7791416072509	ALIMENTO GAUCHO PERROS ADULTOS	x25kg	25	1	1.299,21	1.572,04	 0,940 	 1.529,438 			 61,178 		 -    
7912	7791416001868	Alim Pampa Perro Cachorro carne	x15kg	15	1	1.228,78	1.486,82	 0,940 	 1.446,527 			 96,435 		 -    
7886	7791416960066	Alim Pampa Criad Perr Cach carne	x15kg	15	1	714,88	1.486,82	 0,940 	 1.446,527 			 96,435 		 -    
7887	0	Alim Pampa Criad Perr Adult carne	x22kg	22	1	1.632,79	1.975,68	 0,940 	 1.922,139 			 87,370 		 -    
